"timestamp [UTC]",message,severityLevel,customDimensions
"10/16/2025, 2:38:09.310 PM","at require (node:internal/modules/helpers:182:18)",1,"{""prop__{OriginalFormat}"":""at require (node:internal/modules/helpers:182:18)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Object.apply (/azure-functions-host/workers/node/dist/src/worker-bundle.js:2:52998)",1,"{""prop__{OriginalFormat}"":""at Object.apply (/azure-functions-host/workers/node/dist/src/worker-bundle.js:2:52998)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Module.require (node:internal/modules/cjs/loader:1289:19)",1,"{""prop__{OriginalFormat}"":""at Module.require (node:internal/modules/cjs/loader:1289:19)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Module._load (node:internal/modules/cjs/loader:1091:12)",1,"{""prop__{OriginalFormat}"":""at Module._load (node:internal/modules/cjs/loader:1091:12)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Module.load (node:internal/modules/cjs/loader:1266:32)",1,"{""prop__{OriginalFormat}"":""at Module.load (node:internal/modules/cjs/loader:1266:32)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Module._extensions..js (node:internal/modules/cjs/loader:1623:10)",1,"{""prop__{OriginalFormat}"":""at Module._extensions..js (node:internal/modules/cjs/loader:1623:10)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Module._compile (node:internal/modules/cjs/loader:1521:14)",1,"{""prop__{OriginalFormat}"":""at Module._compile (node:internal/modules/cjs/loader:1521:14)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at Object.<anonymous> (/home/site/wwwroot/recommend/index.js:29:23)",1,"{""prop__{OriginalFormat}"":""at Object.<anonymous> (/home/site/wwwroot/recommend/index.js:29:23)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at new OpenAIRecommendationService (/home/site/wwwroot/services/openAIRecommendationService.js:17:26)",1,"{""prop__{OriginalFormat}"":""at new OpenAIRecommendationService (/home/site/wwwroot/services/openAIRecommendationService.js:17:26)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","at new OpenAI (/home/site/wwwroot/node_modules/openai/index.js:74:19)",1,"{""prop__{OriginalFormat}"":""at new OpenAI (/home/site/wwwroot/node_modules/openai/index.js:74:19)"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.310 PM","Error: Worker was unable to load entry point ""index.js"": The OPENAI_API_KEY environment variable is missing or empty; either provide it, or instantiate the OpenAI client with an apiKey option, like new OpenAI({ apiKey: 'My API Key' }).",3,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Error: Worker was unable to load entry point \""index.js\"": The OPENAI_API_KEY environment variable is missing or empty; either provide it, or instantiate the OpenAI client with an apiKey option, like new OpenAI({ apiKey: 'My API Key' })."",""LogLevel"":""Error"",""Category"":""Host.Function.Console""}"
"10/16/2025, 2:38:09.308 PM","Host initialization: ConsecutiveErrors=0, StartupCount=3, OperationId=bb1623b5-e1f5-4df1-8ae0-091d70a9d72a",1,"{""prop__startCount"":""3"",""prop__operationId"":""bb1623b5-e1f5-4df1-8ae0-091d70a9d72a"",""prop__attemptCount"":""0"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Host initialization: ConsecutiveErrors={attemptCount}, StartupCount={startCount}, OperationId={operationId}"",""LogLevel"":""Information"",""EventId"":""504"",""Category"":""Host.Startup"",""EventName"":""Initialization""}"
"10/16/2025, 2:38:09.308 PM","Initializing Host. OperationId: 'bb1623b5-e1f5-4df1-8ae0-091d70a9d72a'.",1,"{""prop__operationId"":""bb1623b5-e1f5-4df1-8ae0-091d70a9d72a"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Initializing Host. OperationId: '{operationId}'."",""LogLevel"":""Information"",""EventId"":""503"",""Category"":""Host.Startup"",""EventName"":""Initializing""}"
"10/16/2025, 2:38:09.305 PM","Initializing Warmup Extension.",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Initializing Warmup Extension."",""LogLevel"":""Information"",""Category"":""Host.Triggers.Warmup""}"
